id,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,wine_type,quality
962,7.0,0.46,0.27,1.1,0.015,7,151,0.9918,3.19,0.43,12.3,white,6
963,6.8,0.35,0.27,30.5,0.029,13,106,0.9912,3.18,0.37,9.4,white,4
966,5.7,0.59,0.24,0.9,0.086,11,26,0.9978,3.15,0.62,10.2,red,6
967,6.2,0.27,0.45,1.6,0.019,14,109,0.9953,3.33,0.26,8.8,white,5
968,6.3,0.11,0.42,7.7,0.018,2,81,1.0004,3.04,0.4,14.1,white,8
969,7.5,0.45,0.32,2.4,0.009,61,101,0.9947,3.37,0.59,11.7,white,6
970,7.2,0.32,0.01,5.9,0.091,17,65,0.9943,3.73,0.74,8.7,red,6
972,7.5,0.8,0.04,0.9,0.071,1,40,0.9972,3.13,0.33,9.1,red,3
973,6.5,0.27,0.35,1.8,0.094,6,36,0.9924,2.92,0.36,12.6,white,7
976,6.4,0.24,0.44,1.2,0.019,19,85,0.9894,3.32,0.65,12.1,white,8
978,6.8,0.17,0.33,12.2,0.009,44,108,0.9938,3.48,0.5,9.4,white,4
979,6.6,0.48,0.48,14.3,0.052,81,207,0.9934,3.0,0.61,10.0,white,6
980,5.9,0.25,0.28,1.3,0.014,49,82,0.9928,3.36,0.52,11.5,white,7
984,10.0,0.51,0.23,0.9,0.087,17,22,0.9952,3.42,0.65,10.2,red,5
985,6.2,0.13,0.27,1.6,0.012,55,112,0.9955,3.19,0.49,11.4,white,8
986,8.6,0.54,0.07,3.9,0.069,9,72,0.9981,3.5,0.87,11.5,red,7
987,7.2,0.3,0.16,0.6,0.023,40,174,0.992,3.12,0.43,11.3,white,5
988,7.3,0.51,0.07,0.9,0.123,7,55,1.0004,3.19,0.83,11.1,red,5
989,7.5,0.33,0.38,1.6,0.011,40,136,0.9937,3.23,0.58,10.4,white,6
991,7.1,0.18,0.31,2.8,0.047,8,160,0.9999,3.14,0.37,9.0,white,4
993,6.5,0.33,0.55,9.2,0.085,34,199,0.9926,2.99,0.48,10.1,white,6
994,6.8,0.25,0.34,10.4,0.081,47,116,0.995,3.15,0.55,10.0,white,5
995,10.3,0.84,0.26,1.6,0.111,13,110,0.9936,3.27,0.77,10.1,red,3
996,7.3,0.33,0.17,9.5,0.032,31,110,0.9923,3.15,0.29,9.8,white,5
997,7.3,0.35,0.32,1.7,0.027,44,166,0.987,3.1,0.38,10.8,white,4
998,7.1,0.35,0.33,2.9,0.08,33,165,0.9932,3.07,0.51,12.3,white,6
1000,5.0,0.14,0.15,7.6,0.117,60,141,0.9912,3.08,0.54,11.9,white,7
1001,6.6,0.56,0.3,1.6,0.089,4,38,0.9957,3.4,0.51,9.3,red,5
1002,7.9,0.8,0.08,0.9,0.152,15,23,0.9972,3.35,0.37,10.2,red,4
1003,6.5,0.41,0.07,0.9,0.104,11,84,0.9981,3.22,0.78,10.8,red,6
1004,7.7,0.23,0.25,5.9,0.048,22,114,0.9972,3.17,0.3,12.4,white,7
1005,7.2,0.23,0.24,15.6,0.01,52,123,0.9899,3.2,0.39,12.1,white,6
1006,5.7,0.61,0.18,0.9,0.114,13,31,0.995,3.11,0.44,11.7,red,5
1007,6.9,0.08,0.29,1.1,0.17,12,83,0.9958,3.0,0.72,9.5,white,7
1008,7.3,0.34,0.46,0.6,0.031,31,126,0.9926,3.43,0.46,11.2,white,7
1009,7.6,0.2,0.46,10.7,0.009,48,72,0.993,3.3,0.49,11.5,white,8
1010,8.2,0.57,0.21,3.7,0.088,26,11,0.9967,3.33,0.84,10.4,red,6
1011,10.0,0.3,0.33,0.9,0.012,22,6,0.995,3.34,0.86,10.0,red,5
1012,6.8,0.52,0.37,3.1,0.185,4,110,0.9969,3.24,0.47,9.8,white,5
1013,5.5,0.32,0.29,3.9,0.133,41,149,0.9984,2.96,0.61,9.0,white,4
1015,7.4,0.39,0.3,6.4,0.119,29,202,0.992,3.27,0.46,11.1,white,5
1016,7.5,0.26,0.27,1.3,0.112,75,157,0.9932,3.0,0.32,9.9,white,5
1017,7.4,0.23,0.14,3.0,0.01,59,66,0.9916,3.3,0.54,9.3,white,5
1018,5.8,0.31,0.56,4.8,0.015,16,138,0.9972,3.06,0.32,10.3,white,5
1019,4.8,0.72,0.57,1.6,0.026,7,65,0.9981,3.18,0.9,9.2,red,5
1020,7.4,0.51,0.08,2.1,0.151,10,65,1.0009,3.01,0.68,9.1,red,5
1021,6.3,0.38,0.22,0.7,0.009,58,139,0.9967,2.92,0.57,11.9,white,5
1022,7.1,0.16,0.33,1.8,0.081,20,210,0.9958,3.04,0.76,9.0,white,5
1023,6.9,0.25,0.37,1.3,0.044,2,117,0.9919,3.01,0.5,11.9,white,7
1024,6.5,0.34,0.29,7.7,0.009,70,134,0.9939,3.34,0.37,10.7,white,5
1025,7.5,0.31,0.63,2.7,0.077,62,105,0.9932,3.3,0.48,9.5,white,6
1027,7.1,0.14,0.36,1.1,0.024,60,134,0.9877,3.29,0.55,12.5,white,8
1028,6.1,0.22,0.44,4.8,0.055,21,167,0.9933,3.1,0.4,10.7,white,5
1029,6.4,0.33,0.24,1.4,0.192,9,44,0.9985,3.62,0.77,10.0,red,5
1030,6.8,0.15,0.43,31.7,0.014,20,142,1.0013,3.28,0.35,12.1,white,6
1031,6.6,0.29,0.23,8.0,0.067,16,38,0.9966,3.18,0.44,9.7,white,6
1032,5.8,0.68,0.1,0.9,0.1,5,16,1.0014,3.11,0.62,11.0,red,5
1034,7.3,0.32,0.38,9.1,0.018,38,180,0.9911,3.33,0.58,9.4,white,5
1035,7.0,0.14,0.27,15.0,0.028,36,189,0.9922,2.87,0.47,11.4,white,7
1036,6.1,0.27,0.31,4.3,0.015,23,116,0.9961,3.19,0.58,12.2,white,8
1037,4.9,0.25,0.48,1.2,0.064,37,155,0.9976,3.36,0.7,11.3,white,6
1038,7.0,0.2,0.42,4.9,0.026,30,92,0.9936,3.11,0.45,9.3,white,7
1039,6.9,0.49,0.29,7.5,0.031,30,116,0.9937,3.23,0.57,10.1,white,5
1040,6.3,0.33,0.24,9.1,0.012,52,222,0.9896,3.08,0.55,11.0,white,5
1041,7.4,0.1,0.25,22.7,0.045,42,184,0.9947,3.06,0.35,12.6,white,6
1042,6.2,0.15,0.39,3.0,0.018,46,153,0.9974,3.29,0.45,9.7,white,6
1043,7.6,0.24,0.45,18.0,0.026,64,139,0.989,3.06,0.4,10.3,white,5
1044,5.9,0.22,0.17,8.9,0.061,33,167,0.9953,3.26,0.61,9.6,white,6
1047,6.7,0.24,0.32,7.4,0.009,9,58,0.9921,2.88,0.29,8.9,white,5
1048,8.8,0.36,0.25,5.3,0.066,47,128,0.9956,3.21,0.47,8.9,white,5
1049,5.6,0.38,0.47,2.8,0.019,75,115,0.997,3.25,0.43,10.6,white,5
1050,6.5,0.24,0.39,0.6,0.041,20,117,0.9926,3.3,0.42,10.2,white,5
1051,6.4,0.4,0.28,9.4,0.009,38,118,0.9914,3.04,0.39,11.4,white,6
1052,6.1,0.21,0.31,2.0,0.086,34,145,0.9947,3.35,0.5,9.7,white,5
1053,7.0,0.4,0.27,1.5,0.06,34,150,0.987,3.35,0.58,11.6,white,5
1054,7.0,0.3,0.41,2.7,0.026,37,140,0.9974,3.14,0.59,9.3,white,5
1055,7.8,0.38,0.26,1.7,0.124,19,142,0.9922,3.2,0.53,13.1,white,6
1056,7.4,0.26,0.48,1.0,0.022,21,236,0.9941,3.24,0.72,11.3,white,7
1057,11.2,0.55,1.0,8.6,0.122,38,32,0.9967,3.16,0.58,10.9,red,5
1058,6.9,0.32,0.29,0.6,0.009,39,136,0.9886,3.24,0.43,10.0,white,5
1059,7.2,0.24,0.39,7.7,0.056,37,217,0.9936,3.11,0.58,9.7,white,5
1060,8.9,0.48,0.12,8.6,0.048,35,37,0.9955,3.1,0.62,9.5,red,5
1062,7.1,0.3,0.13,4.6,0.046,55,185,0.994,3.21,0.6,12.0,white,5
1063,7.9,0.27,0.25,1.9,0.025,30,183,0.9938,3.28,0.63,8.7,white,4
1064,6.6,0.33,0.62,0.8,0.044,13,121,0.9974,2.99,0.47,12.7,white,6
1065,6.8,0.2,0.46,1.3,0.05,50,139,0.9924,3.1,0.67,12.3,white,7
1067,8.4,0.3,0.24,1.7,0.012,2,23,0.9979,3.11,0.89,11.3,red,7
1068,7.3,0.26,0.24,3.0,0.039,40,204,0.9957,3.21,0.48,11.1,white,5
1070,7.0,0.46,0.35,0.9,0.009,55,143,0.9957,3.22,0.62,13.1,white,6
1071,6.9,0.49,0.11,6.3,0.053,12,78,0.9961,3.2,0.4,9.9,red,4
1072,9.4,0.59,0.36,3.2,0.105,8,34,0.9962,2.98,0.74,12.4,red,6
1073,7.8,0.54,0.17,3.6,0.166,15,6,0.9994,2.99,0.8,10.6,red,7
1074,6.1,0.47,0.19,4.2,0.024,37,156,0.9935,3.08,0.41,9.3,white,3
1075,4.6,0.79,0.2,4.3,0.054,25,49,0.9985,3.25,0.73,11.7,red,4
1076,7.5,0.23,0.24,4.5,0.009,56,157,0.9925,3.3,0.46,12.1,white,7
1078,5.6,0.22,0.1,0.6,0.042,55,165,0.989,3.3,0.59,9.1,white,5
1079,7.1,0.78,0.02,0.9,0.059,2,13,1.0,3.12,0.65,10.2,red,4
1081,7.2,0.26,0.49,2.4,0.196,37,99,0.9955,3.29,0.66,8.9,white,7
1082,5.7,0.27,0.33,6.4,0.024,41,130,0.9941,3.66,0.5,11.0,white,6
1083,7.0,0.29,0.33,3.3,0.137,21,126,0.9933,2.98,0.45,12.5,white,7
1084,7.4,0.29,0.28,21.2,0.03,36,159,0.9932,3.22,0.22,9.8,white,3
1085,7.5,0.33,0.3,4.9,0.029,14,123,0.9956,3.32,0.64,10.3,white,5
1087,7.9,0.34,0.48,3.1,0.064,53,180,0.9923,2.98,0.57,12.1,white,7
1088,6.4,0.33,0.51,9.8,0.055,58,222,1.0,3.08,0.64,11.0,white,7
1090,7.3,0.35,0.26,9.0,0.014,64,180,0.9956,3.07,0.31,10.0,white,5
1091,7.3,0.15,0.26,0.6,0.147,34,115,0.9891,3.5,0.4,10.5,white,6
1092,6.1,0.23,0.29,1.0,0.046,41,180,0.9881,3.13,0.24,11.7,white,6
1093,5.5,0.29,0.53,0.9,0.009,44,156,0.9971,3.35,0.49,11.2,white,6
1094,6.7,0.51,0.13,6.7,0.021,29,177,0.9923,3.42,0.64,12.3,white,6
1095,7.8,0.14,0.44,13.7,0.009,43,136,0.9912,3.3,0.62,9.3,white,6
1096,6.0,0.65,0.32,7.8,0.034,6,52,1.0003,3.03,0.85,9.6,red,6
1097,6.7,0.18,0.26,10.9,0.009,31,154,0.9918,3.08,0.47,9.7,white,6
1098,6.5,0.28,0.28,8.1,0.009,37,172,0.9949,3.1,0.26,11.2,white,4
1099,6.3,0.17,0.37,1.1,0.052,30,161,0.9912,2.82,0.55,12.0,white,8
1100,7.4,0.33,0.44,11.6,0.048,34,220,0.9922,3.14,0.54,9.2,white,3
1101,5.2,0.24,0.2,0.6,0.015,6,115,0.9926,3.35,0.44,12.0,white,6
1104,6.4,0.3,0.37,2.7,0.029,34,115,0.9908,3.04,0.27,11.7,white,6
1105,8.7,0.43,0.46,3.2,0.009,14,198,0.9886,3.25,0.47,9.9,white,3
1107,7.7,0.34,0.48,0.6,0.056,62,112,0.9911,3.3,0.46,9.2,white,5
1108,6.0,0.43,0.32,2.7,0.07,36,219,0.9925,3.21,0.57,11.8,white,5
1109,7.5,0.53,0.31,2.4,0.078,38,45,0.997,3.15,0.76,11.4,red,7
1110,9.8,0.82,0.62,4.0,0.178,72,32,0.9932,3.37,0.74,11.8,red,6
1112,4.8,0.17,0.46,6.4,0.054,46,230,0.9986,3.22,0.55,11.9,white,7
1115,5.2,0.28,0.38,2.2,0.029,30,96,0.9964,3.08,0.4,9.9,white,5
1117,9.2,0.41,0.19,1.1,0.058,21,35,0.9988,3.49,0.58,9.0,red,5
1118,4.8,0.34,0.36,3.6,0.017,18,138,0.9932,3.13,0.42,10.5,white,6
1119,6.9,0.27,0.31,11.3,0.048,10,76,0.9996,3.24,0.64,10.6,white,7
1120,5.3,0.26,0.25,14.1,0.015,22,205,0.9912,3.18,0.45,9.2,white,5
1121,10.5,0.68,0.04,0.9,0.071,1,28,0.9955,3.34,0.52,10.3,red,4
1123,6.0,0.27,0.48,6.9,0.012,61,126,0.9935,3.05,0.45,8.5,white,5
1124,10.1,0.42,0.04,9.4,0.052,36,61,0.9942,3.31,0.88,11.6,red,7
1125,8.0,0.32,0.67,1.3,0.07,14,41,0.9943,3.28,0.53,9.3,red,7
1126,8.3,0.5,0.44,1.7,0.013,19,54,0.995,3.46,0.64,8.7,red,5
1127,6.1,0.46,0.5,3.2,0.015,49,131,0.9898,3.51,0.37,12.4,white,7
1130,6.4,0.36,0.26,9.7,0.044,13,124,0.9945,3.23,0.41,10.6,white,6
1131,6.9,0.21,0.52,5.2,0.032,45,80,0.9912,3.16,0.61,12.0,white,8
1133,6.7,0.35,0.31,1.9,0.01,29,92,0.9943,3.31,0.41,10.1,white,5
1134,6.8,0.3,0.33,4.1,0.024,30,140,0.9918,3.25,0.36,10.5,white,5
1135,5.7,0.27,0.24,14.3,0.021,33,219,0.998,3.28,0.54,10.3,white,5
1136,7.3,0.13,0.35,2.3,0.009,30,170,0.9933,3.1,0.43,9.8,white,5
1138,6.7,0.36,0.57,4.6,0.037,60,185,0.9919,3.07,0.5,8.3,white,3
1140,7.9,0.73,0.02,1.8,0.121,3,6,0.9945,3.36,1.07,11.0,red,7
1141,7.5,0.24,0.32,12.8,0.1,20,119,0.9906,3.26,0.49,11.9,white,5
1142,8.0,0.2,0.31,1.9,0.016,25,162,0.9945,3.12,0.4,11.5,white,5
1143,8.2,0.83,0.1,1.7,0.017,4,12,0.9961,3.23,0.44,10.9,red,5
1144,5.9,0.28,0.14,18.5,0.033,30,115,0.9995,3.21,0.62,8.8,white,5
1145,6.1,0.24,0.38,8.6,0.173,33,103,0.9968,3.09,0.53,13.2,white,6
1146,7.9,0.58,0.64,0.9,0.049,8,56,0.9946,3.24,0.55,10.6,red,5
1147,9.3,0.51,0.84,5.8,0.085,49,12,0.9983,3.35,0.71,11.2,red,7
1148,7.4,0.42,0.68,1.2,0.058,4,47,0.9961,3.56,0.5,12.0,red,7
1149,5.4,0.31,0.34,8.0,0.105,31,142,0.9923,3.44,0.34,9.4,white,5
1150,5.4,0.3,0.21,0.6,0.037,5,117,0.9899,3.06,0.44,10.7,white,6
1151,7.1,0.19,0.37,0.6,0.051,41,147,0.9883,2.87,0.52,8.6,white,4
1152,7.5,0.29,0.42,3.7,0.009,8,161,0.9967,3.41,0.58,10.0,white,4
1153,8.6,0.46,0.23,1.6,0.136,12,38,0.9988,3.23,0.66,12.7,red,8
1155,5.9,0.26,0.36,3.2,0.205,21,183,0.9979,3.21,0.47,9.9,white,6
1156,5.7,0.33,0.32,18.1,0.009,18,146,0.9942,2.97,0.42,9.7,white,4
1157,6.2,0.2,0.37,1.1,0.027,54,106,0.9978,3.31,0.38,12.2,white,8
1158,7.3,0.36,0.44,9.4,0.009,4,151,0.9895,3.08,0.41,11.9,white,5
1159,8.2,0.35,0.09,3.8,0.161,26,97,0.9919,3.16,0.46,10.7,white,5
1160,6.9,0.1,0.44,0.6,0.009,59,173,0.9929,3.34,0.47,11.4,white,7
1161,7.2,0.35,0.12,1.3,0.018,42,204,1.0007,3.13,0.32,10.6,white,3
1163,11.0,0.67,0.1,2.3,0.04,8,62,0.9997,3.19,0.47,9.8,red,3
1164,7.1,0.23,0.01,9.9,0.043,4,55,0.9908,3.33,0.42,10.5,white,7
1165,8.9,0.38,0.28,16.6,0.025,43,152,0.9952,3.17,0.48,11.3,white,5
1166,6.8,0.22,0.45,7.1,0.009,35,211,0.9899,2.96,0.33,11.5,white,4
1167,7.7,0.37,0.34,9.4,0.012,60,178,0.994,3.13,0.51,10.8,white,5
1168,7.4,0.34,0.36,5.7,0.034,47,127,0.9907,3.16,0.45,10.4,white,5
1169,9.0,0.33,0.0,0.9,0.112,9,33,0.9938,3.51,0.43,8.6,red,4
1171,7.5,0.3,0.06,6.0,0.103,9,64,0.998,3.24,0.39,9.6,red,4
1172,7.5,0.29,0.1,30.9,0.055,39,173,0.9937,3.2,0.52,11.0,white,5
1173,10.4,0.29,0.07,0.9,0.032,8,6,0.9957,3.34,0.81,11.8,red,7
1175,7.5,0.38,0.48,10.1,0.009,58,151,0.9945,3.15,0.59,10.2,white,5
1176,7.2,0.36,0.2,0.6,0.011,4,135,0.9933,3.38,0.72,10.8,white,5
1177,7.4,0.59,0.42,15.2,0.009,40,182,0.9938,3.3,0.34,10.2,white,4
1178,8.4,0.57,0.04,8.8,0.128,36,46,0.9972,3.41,0.73,11.2,red,5
1179,8.3,0.41,0.08,0.9,0.048,8,6,0.9955,3.62,0.67,10.4,red,7
1180,6.6,0.4,0.34,16.1,0.009,20,144,0.994,2.89,0.37,9.5,white,4
1181,6.1,0.57,0.7,3.8,0.067,19,13,0.9961,3.27,0.68,8.4,red,6
1182,9.0,0.27,0.56,4.1,0.084,49,150,0.9974,3.09,0.43,12.0,white,7
1183,8.8,0.74,0.19,2.8,0.012,10,6,0.9978,3.1,0.47,10.9,red,5
1184,6.9,0.6,0.05,0.9,0.079,5,35,0.9965,3.26,0.66,11.0,red,6
1185,5.7,0.19,0.39,2.5,0.01,42,184,0.9939,3.34,0.32,10.8,white,6
1187,6.7,0.62,0.03,0.9,0.126,72,6,0.9981,3.34,0.49,11.8,red,6
1188,9.3,0.3,0.32,0.9,0.131,1,45,0.9986,3.21,0.39,10.4,red,6
1189,10.4,0.17,0.04,4.0,0.101,8,39,0.9969,3.29,0.33,11.6,red,7
1191,6.3,0.08,0.27,3.8,0.05,51,78,0.9993,3.16,0.63,9.5,white,6
1193,6.4,0.3,0.43,4.2,0.051,33,193,0.994,3.42,0.47,11.4,white,6
1195,7.6,0.3,0.12,6.4,0.133,25,76,0.9982,3.26,0.37,10.4,red,5
1196,7.8,0.25,0.3,17.5,0.026,31,108,0.9911,3.14,0.41,10.5,white,5
1197,6.8,0.26,0.26,10.4,0.009,46,171,0.9895,3.15,0.52,9.3,white,6
1198,6.9,0.12,0.29,5.4,0.018,21,107,0.9952,3.43,0.63,11.1,white,5
1199,6.0,0.35,0.3,17.5,0.037,40,203,0.989,3.03,0.66,9.5,white,4
1200,6.1,0.29,0.13,0.8,0.055,31,187,0.9951,2.98,0.54,9.8,white,4
1201,6.2,0.53,0.46,1.3,0.072,44,115,0.9921,3.24,0.52,10.9,white,7
1202,8.0,0.27,0.49,6.5,0.047,46,170,0.9906,3.44,0.52,11.6,white,6
1203,5.8,0.18,0.35,8.4,0.045,47,183,0.9961,3.43,0.35,8.0,white,4
1204,6.5,0.36,0.22,20.7,0.026,24,137,0.993,3.25,0.49,10.6,white,6
1206,5.7,0.1,0.39,20.0,0.207,44,141,0.9976,3.29,0.37,10.6,white,6
1207,7.0,0.31,0.3,8.3,0.01,41,214,0.9944,3.43,0.57,10.6,white,4
1209,6.6,0.4,0.35,16.8,0.106,41,107,0.9901,3.35,0.38,9.1,white,5
1211,6.7,0.28,0.31,0.6,0.221,70,85,0.9918,3.28,0.57,8.9,white,6
1212,6.4,0.3,0.43,5.5,0.009,9,164,0.9941,2.97,0.69,10.5,white,5
1213,7.3,0.2,0.44,0.6,0.077,12,102,0.9888,3.18,0.56,10.0,white,4
1214,6.8,0.23,0.34,3.0,0.011,52,184,0.9942,3.15,0.27,9.0,white,4
1216,8.9,0.36,1.0,1.0,0.142,13,42,0.9954,3.07,0.51,11.0,red,7
1217,6.0,0.27,0.57,5.2,0.022,14,98,0.9973,2.94,0.55,10.3,white,5
1218,12.8,0.53,0.29,1.5,0.075,12,33,0.9964,3.06,0.64,11.3,red,8
1219,4.9,0.19,0.33,2.5,0.058,26,62,0.9976,3.32,0.5,11.0,red,6
1221,5.7,0.34,0.32,5.5,0.116,2,127,0.9964,3.17,0.53,8.0,white,6
1223,6.9,0.26,0.42,4.1,0.014,28,30,0.9878,3.03,0.37,9.9,white,8
1225,7.5,0.08,0.37,12.4,0.047,40,173,0.9915,3.09,0.58,12.1,white,6
1226,5.1,0.28,0.43,2.4,0.02,28,141,0.9993,2.98,0.6,9.5,white,6
1227,6.5,0.24,0.21,2.4,0.053,25,167,0.9964,3.19,0.57,12.1,white,5
1229,6.6,0.29,0.48,0.6,0.02,42,182,0.9915,3.33,0.43,10.3,white,5
1230,8.0,0.19,0.35,3.7,0.154,24,215,0.9954,3.64,0.38,11.1,white,5
1231,10.1,0.72,0.44,2.3,0.103,59,22,0.9974,3.3,0.77,9.7,red,5
1232,6.7,0.42,0.29,0.8,0.062,28,138,0.9918,3.04,0.41,9.8,white,5
1234,7.6,0.27,0.47,4.7,0.014,13,153,1.0003,3.06,0.43,11.1,white,5
1235,7.5,0.08,0.22,4.2,0.094,29,216,0.9954,3.09,0.37,10.8,white,5
1236,7.4,0.28,0.32,1.3,0.072,30,105,0.9968,3.15,0.42,9.1,white,5
1237,7.7,0.34,0.27,1.7,0.036,53,185,0.9972,3.13,0.42,11.1,white,5
1238,5.7,0.26,0.46,0.7,0.023,55,136,0.9989,3.29,0.46,12.1,white,6
1240,6.8,0.27,0.44,5.7,0.04,2,238,0.9917,3.16,0.49,10.7,white,5
1241,6.9,0.31,0.25,6.9,0.048,41,64,0.992,3.35,0.75,11.4,red,5
1242,5.6,0.32,0.35,7.1,0.079,47,160,0.9999,2.93,0.62,11.4,white,5
1243,5.0,0.35,0.85,1.4,0.035,1,6,0.9979,3.3,0.56,11.9,red,8
1244,6.5,0.14,0.4,0.7,0.1,58,124,0.9888,3.33,0.48,11.2,white,7
1245,7.1,0.19,0.33,2.4,0.018,25,193,0.9946,2.97,0.37,10.8,white,6
1246,7.4,0.09,0.28,3.0,0.063,28,77,0.9968,3.1,0.29,12.7,white,7
1249,7.6,0.27,0.45,7.9,0.01,36,163,0.9939,3.42,0.47,8.7,white,6
1250,6.0,0.37,0.45,9.0,0.082,35,193,0.9957,3.19,0.37,8.6,white,3
1251,5.2,0.39,0.44,0.6,0.011,78,138,0.993,3.06,0.52,11.0,white,6
1252,7.3,0.19,0.37,4.9,0.009,53,74,0.9937,3.0,0.44,9.0,white,6
1253,6.8,0.32,0.42,5.1,0.014,44,80,0.9949,3.08,0.5,11.1,white,4
1254,8.1,0.44,0.34,0.6,0.018,33,70,0.993,2.84,0.47,10.0,white,5
1255,5.3,0.21,0.4,0.6,0.009,19,140,0.9936,3.3,0.45,8.9,white,5
1257,6.3,0.27,0.35,2.4,0.068,2,152,0.9881,3.13,0.51,11.1,white,5
1258,5.7,0.75,0.04,3.4,0.094,7,6,0.9962,3.5,0.5,9.3,red,3
1259,6.6,0.36,0.42,6.1,0.037,25,124,0.9935,3.13,0.55,10.7,white,5
1260,8.6,0.65,0.0,6.1,0.075,8,58,0.9999,2.92,0.67,9.0,red,4
1262,5.7,0.23,0.39,0.7,0.033,37,133,0.9884,3.44,0.43,13.2,white,7
1264,6.0,0.72,0.27,1.5,0.115,1,77,0.9998,3.42,0.72,10.5,red,6
1265,8.6,0.77,0.44,6.2,0.043,32,42,0.9995,3.44,0.75,8.6,red,4
1267,5.9,0.24,0.41,8.0,0.044,51,157,0.9931,2.76,0.52,8.3,white,4
1269,7.5,0.35,0.35,3.6,0.015,17,135,0.9942,3.02,0.34,9.3,white,5
1270,6.6,0.08,0.26,10.0,0.023,27,105,0.9954,3.34,0.51,10.5,white,8
1271,9.0,0.38,0.37,0.9,0.154,7,14,0.997,3.2,0.59,9.8,red,6
1272,4.8,0.28,0.38,5.9,0.009,12,100,0.9897,3.5,0.53,11.0,white,5
1273,6.1,0.37,0.55,5.1,0.03,60,139,0.9928,3.13,0.61,9.2,white,6
1274,8.0,0.44,0.29,4.2,0.123,33,179,0.9974,3.18,0.59,12.1,white,6
1275,6.9,0.12,0.37,0.9,0.009,62,177,0.9918,3.19,0.36,9.5,white,5
1276,5.6,0.19,0.48,8.6,0.009,54,207,0.9919,3.11,0.25,9.1,white,5
1277,8.2,0.27,0.65,9.3,0.013,34,138,0.9896,3.17,0.43,8.8,white,6
1278,6.7,0.5,0.37,0.7,0.012,43,113,1.0025,3.24,0.43,10.0,white,4
1281,8.1,0.37,0.29,3.7,0.105,11,27,0.9985,3.28,0.52,11.0,red,5
1282,7.4,0.38,0.62,0.9,0.013,25,215,0.9985,3.02,0.44,11.4,white,5
1283,6.3,0.16,0.41,20.1,0.021,59,177,0.9944,3.18,0.5,10.2,white,5
1284,6.4,0.41,0.18,0.6,0.02,60,99,0.9924,3.03,0.47,9.0,white,4
1285,5.9,0.11,0.32,2.6,0.009,62,90,0.9877,3.41,0.34,11.4,white,8
1286,6.7,0.37,0.64,7.0,0.061,26,120,0.9938,3.15,0.39,10.7,white,5
1287,6.4,0.44,0.48,1.0,0.062,30,148,0.9918,3.12,0.36,9.5,white,3
1288,9.3,0.39,0.07,0.9,0.176,19,64,0.9943,3.37,0.86,10.1,red,6
1291,7.6,0.42,0.13,1.4,0.013,51,174,0.9921,3.3,0.64,10.8,white,4
1293,6.8,0.26,0.48,8.1,0.009,68,162,0.9975,3.02,0.59,10.8,white,7
1294,11.1,0.5,0.35,6.7,0.119,21,13,0.996,3.26,0.63,11.4,red,5
1296,10.2,0.53,0.23,2.8,0.09,28,53,0.9979,3.24,0.84,10.5,red,7
1297,5.8,0.23,0.41,6.8,0.121,49,218,1.0013,3.36,0.52,12.7,white,7
1298,8.7,0.22,0.38,1.1,0.018,10,118,0.9978,3.34,0.46,8.7,white,6
1299,5.9,0.27,0.31,2.2,0.009,49,144,0.9904,3.14,0.5,10.1,white,5
1300,8.5,0.16,0.32,13.2,0.159,56,135,0.9925,3.04,0.68,8.8,white,5
1302,7.1,0.28,0.61,3.5,0.101,6,25,0.997,2.99,0.62,10.5,red,8
1305,6.9,0.31,0.33,6.0,0.138,23,71,0.9927,3.22,0.58,9.3,white,5
1306,9.8,0.45,0.01,1.3,0.126,12,52,0.9932,3.21,0.51,11.1,red,5
1307,5.4,0.2,0.32,19.7,0.045,37,104,1.0005,3.08,0.53,9.0,white,4
1309,4.6,0.61,0.02,4.0,0.155,7,6,0.996,3.02,0.79,11.5,red,7
1311,6.8,0.2,0.45,7.7,0.015,56,72,0.9953,3.26,0.69,9.9,white,6
1312,6.4,0.24,0.23,2.1,0.009,7,83,0.9915,3.18,0.23,8.0,white,4
1313,6.4,0.27,0.34,2.8,0.056,58,174,0.9922,3.12,0.48,8.6,white,5
1314,6.5,0.18,0.14,3.9,0.009,60,152,0.9986,2.79,0.64,11.4,white,6
1315,7.2,0.2,0.35,2.3,0.044,44,163,0.9972,3.16,0.54,10.4,white,5
1316,8.3,0.49,0.18,1.5,0.15,1,93,0.9958,3.25,0.94,12.0,red,6
1317,6.9,0.4,0.36,2.2,0.284,59,72,0.9964,3.28,0.48,10.1,white,5
1318,6.8,0.34,0.4,10.0,0.046,16,196,0.9943,3.39,0.54,12.1,white,5
1319,6.1,0.31,0.33,10.7,0.05,11,92,0.9932,3.3,0.48,8.0,white,4
1320,6.8,0.27,0.34,0.6,0.011,26,68,0.9993,3.09,0.38,9.5,white,5
1321,8.2,0.24,0.47,34.8,0.12,41,168,0.9932,3.45,0.47,13.2,white,7
1323,6.4,0.24,0.27,1.3,0.009,24,123,0.9891,3.22,0.69,11.6,white,7
1324,6.7,0.26,0.09,1.6,0.048,26,142,1.0014,3.2,0.51,10.8,white,5
1325,6.5,0.33,0.21,3.7,0.009,58,140,0.9937,3.18,0.53,11.6,white,6
1326,6.3,0.33,0.3,13.8,0.056,35,123,0.9938,3.33,0.61,13.2,white,6
