id,size_sqft,property_type,bedrooms,latitude,longitude,locality,suburb,monthly_rent,metro_dist_km,airport_dist_km,aiims_dist_km,railway_station_dist_km,suburb_locality_count,center_dist_km,log_size,bedrooms_per_100sqft,avg_landmark_dist,property_type_freq,locality_grouped
3781,1052,Independent Floor,2,28.596,77.3145,Dwarka Sector 7,Dwarka,17000,1.2578,22.9414,10.926,10.4764,72,9.198,6.9584,0.1901,11.4,11151,Dwarka Sector 7
3782,1400,Apartment,3,28.5416,77.2508,Chittaranjan Park,Other,45000,0.4543,16.3241,5.0517,11.4739,442,10.387,7.2442,0.2143,8.326,5694,Chittaranjan Park
3783,650,Independent Floor,2,28.7011,77.1095,Sector 3 Rohini,West Delhi,22000,1.6377,16.3887,17.7147,12.7073,39,11.947,6.477,0.3077,12.112,11151,Sector 3 Rohini
3784,800,Independent Floor,2,28.4973,77.1849,Chattarpur,Delhi South,13000,1.4135,11.701,8.03,16.3836,51,15.14,6.6846,0.25,9.382,11151,Chattarpur
3786,1350,Independent Floor,2,28.7129,77.1412,Pitampura,North Delhi,22000,1.3803,18.3641,17.4509,11.08,17,11.087,7.2079,0.1481,12.069,11151,Pitampura
3787,2400,Independent Floor,3,28.6707,77.129,Punjabi Bagh,Delhi Central,60000,0.4907,13.5445,13.8471,9.5204,55,8.628,7.7832,0.125,9.351,11151,Punjabi Bagh
3788,220,Apartment,1,28.7114,77.2089,Dr Mukherji Nagar,North Delhi,10000,1.4761,21.1773,16.0219,7.8127,17,8.896,5.3936,0.4545,11.622,5694,Dr Mukherji Nagar
3790,1900,Independent Floor,4,28.6767,77.1041,Paschim Vihar,West Delhi,50000,0.287,13.6321,15.8435,12.0393,39,10.805,7.5496,0.2105,10.45,11151,Paschim Vihar
3791,200,Apartment,1,28.5954,77.3084,New Ashok Nagar,Delhi East,6000,0.9751,22.3416,10.3348,9.9932,49,8.763,5.2983,0.5,10.911,5694,New Ashok Nagar
3792,950,Apartment,1,28.5579,77.2029,Green Park,Delhi South,40000,0.3833,11.5767,1.1018,9.4489,51,8.253,6.8565,0.1053,5.628,5694,Green Park
3793,651,Independent Floor,2,28.6305,77.2774,laxmi nagar near metro station,Delhi East,16000,0.2486,20.6287,9.8011,5.6795,49,5.159,6.4785,0.3072,9.089,11151,laxmi nagar near metro station
3794,1800,Apartment,3,28.5871,77.0438,Sector 11 Dwarka,Dwarka,30000,0.5583,5.3643,16.2052,18.331,72,15.503,7.4955,0.1667,10.115,5694,Sector 11 Dwarka
3795,1100,Independent House,2,28.4996,77.1867,Chattarpur,Delhi South,25000,1.3878,11.7182,7.7313,16.0925,51,14.858,7.0031,0.1818,9.232,861,Chattarpur
3796,1700,Apartment,3,28.6015,77.0387,Sector 13 Dwarka,Dwarka,21000,0.7348,6.8473,16.9784,18.342,72,15.488,7.4384,0.1765,10.726,5694,Sector 13 Dwarka
3797,500,Independent Floor,1,28.6486,77.1653,Patel Nagar,Delhi Central,17000,0.5483,13.0392,9.9645,5.4678,55,4.761,6.2146,0.2,7.255,11151,Patel Nagar
3798,980,Apartment,3,28.7381,77.1242,Rohini sector 16,West Delhi,20000,1.4282,20.67,20.667,14.2549,39,14.21,6.8876,0.3061,14.255,5694,Rohini sector 16
3799,200,Apartment,1,28.639,77.1839,Rajinder Nagar,Delhi West,15000,0.6535,13.4593,8.3358,3.6117,4,2.913,5.2983,0.5,6.515,5694,Rajinder Nagar
3800,689,Apartment,1,28.5879,77.0445,Sector 11 Dwarka,Dwarka,15000,0.5008,5.3636,16.1408,18.231,72,15.413,6.5352,0.1451,10.059,5694,Sector 11 Dwarka
3801,1400,Independent Floor,3,28.5148,77.2031,Sainik Farms,Delhi South,26000,0.6904,12.415,5.7863,14.1673,51,13.003,7.2442,0.2143,8.265,11151,Sainik Farms
3802,1300,Independent Floor,2,28.6389,77.293,Preet Vihar,Delhi East,30000,0.3518,22.4049,11.5419,7.0773,49,6.539,7.1701,0.1538,10.344,11151,Preet Vihar
3803,1350,Independent Floor,3,28.6679,77.1061,Paschim Vihar,West Delhi,38000,1.2065,12.695,14.9763,11.5741,39,10.232,7.2079,0.2222,10.113,11151,Paschim Vihar
3804,2000,Independent Floor,3,28.6502,77.1684,Patel Nagar,Delhi Central,50000,0.5729,13.3632,10.0041,5.1969,55,4.597,7.6009,0.15,7.284,11151,Patel Nagar
3805,610,Independent Floor,1,28.6517,77.1656,Patel Nagar,Delhi Central,14200,0.7758,13.3339,10.2751,5.5049,55,4.894,6.4135,0.1639,7.472,11151,Patel Nagar
3806,750,Independent Floor,2,28.7033,77.1629,Shalimar Bagh AG Block,Other,30000,0.1848,18.1354,15.7425,8.8589,442,9.185,6.6201,0.2667,10.73,11151,Other
3807,1530,Independent Floor,2,28.677,77.1063,Paschim Vihar,West Delhi,28000,0.4436,13.6978,15.7357,11.8504,39,10.659,7.333,0.1307,10.432,11151,Paschim Vihar
3808,540,Independent Floor,2,28.6349,77.2712,laxmi nagar,Other,11000,0.7456,20.2849,9.7635,4.9925,442,4.646,6.2916,0.3704,8.947,11151,laxmi nagar
3809,1490,Independent Floor,3,28.4961,77.1842,Chattarpur,Delhi South,21000,1.4675,11.7167,8.1714,16.5229,51,15.277,7.3065,0.2013,9.47,11151,Chattarpur
3810,500,Apartment,1,28.602,77.0284,Sector 14 Dwarka,Dwarka,14000,0.2413,7.5889,17.9778,19.312,72,16.336,6.2146,0.2,11.28,5694,Sector 14 Dwarka
3811,1000,Independent Floor,2,28.6353,77.1133,Subhash Nagar,Delhi Central,16000,0.9261,9.344,11.9615,10.5266,55,8.801,6.9078,0.2,8.19,11151,Subhash Nagar
3813,900,Independent Floor,2,28.7043,77.15,Poorvi Pitampura,Other,30000,0.9671,17.7493,16.2519,9.7978,442,9.876,6.8024,0.2222,11.192,11151,Poorvi Pitampura
3814,1500,Apartment,3,28.5592,77.0571,Sector 23 Dwarka,Dwarka,32000,0.7911,2.7434,14.7734,18.4319,72,15.764,7.3132,0.2,9.185,5694,Sector 23 Dwarka
3815,550,Independent Floor,2,28.6295,77.3123,i p extension patparganj,Delhi Central,10000,0.3505,23.7562,12.3604,9.0615,55,8.132,6.3099,0.3636,11.382,11151,i p extension patparganj
3816,230,Independent House,1,28.5916,77.3048,New Ashok Nagar,Delhi East,6000,0.4266,21.9177,9.8773,9.928,49,8.704,5.4381,0.4348,10.537,861,New Ashok Nagar
3818,150,Independent Floor,1,28.6409,77.1886,Rajinder Nagar,Delhi West,19000,0.3301,13.9382,8.417,3.1354,4,2.603,5.0106,0.6667,6.455,11151,Rajinder Nagar
3819,1750,Independent Floor,3,28.5269,77.1358,Vasant Kunj Enclave,South West Delhi,30000,2.8659,5.8902,8.3185,15.1907,12,13.491,7.4674,0.1714,8.066,11151,Other
3820,600,Apartment,1,28.6502,77.3027,Anand Vihar,Delhi East,12000,0.2625,23.7985,13.0955,8.0728,49,7.6,6.3969,0.1667,11.307,5694,Anand Vihar
3821,1700,Apartment,3,28.5873,77.0351,Sector 18A Dwarka,Dwarka,35000,0.7805,6.0358,17.0493,19.1288,72,16.199,7.4384,0.1765,10.749,5694,Sector 18A Dwarka
3823,1250,Apartment,3,28.5335,77.2197,Khirki Extension Panchsheel Vihar,Other,25000,0.9872,13.4254,3.8796,11.9958,442,10.885,7.1309,0.24,7.572,5694,Other
3824,1250,Independent Floor,3,28.6649,77.1061,Paschim Vihar,West Delhi,28000,1.5015,12.3677,14.7251,11.4895,39,10.101,7.1309,0.24,10.021,11151,Paschim Vihar
3825,260,Independent Floor,1,28.6356,77.2719,laxmi nagar,Other,5000,0.7758,20.3807,9.8652,5.0522,442,4.714,5.5607,0.3846,9.018,11151,laxmi nagar
3827,9500,Villa,5,28.487,77.1557,Westend DLF Chattarpur Farms,Other,300000,0.991,10.2476,10.217,18.2891,442,16.859,9.159,0.0526,9.936,36,Other
3828,1600,Independent Floor,2,28.5382,77.2569,Kalkaji,Delhi South,35000,1.011,16.9531,5.7549,11.9995,51,10.9,7.3778,0.125,8.93,11151,Kalkaji
3829,1200,Independent Floor,2,28.7973,77.1366,Alipur Village,Delhi North,8000,5.8345,27.3367,26.4674,19.0996,8,19.619,7.0901,0.1667,19.685,11151,Other
3830,800,Apartment,2,28.6029,77.0282,Sector 14 Dwarka,Dwarka,14000,0.2296,7.667,18.0175,19.3108,72,16.335,6.6846,0.25,11.306,5694,Sector 14 Dwarka
3831,880,Independent Floor,2,28.5764,77.2428,Lajpat Nagar,Delhi South,38500,0.8241,15.6578,3.5873,7.5519,51,6.505,6.7799,0.2273,6.905,11151,Lajpat Nagar
3832,1000,Independent Floor,2,28.5328,77.2178,Khirki Extension,Other,20000,1.081,13.2508,3.8941,12.0684,442,10.952,6.9078,0.2,7.574,11151,Khirki Extension
3834,1150,Apartment,2,28.5876,77.0738,Sector 7 Dwarka,Dwarka,23000,0.8403,3.7754,13.3141,15.573,72,13.092,7.0475,0.1739,8.376,5694,Sector 7 Dwarka
3835,1600,Independent Floor,3,28.5395,77.2549,Kalkaji,Delhi South,50000,0.8243,16.7465,5.5193,11.8145,51,10.72,7.3778,0.1875,8.726,11151,Kalkaji
3836,1050,Apartment,2,28.5592,77.0571,Sector 23 Dwarka,Dwarka,22000,0.7911,2.7434,14.7734,18.4319,72,15.764,6.9565,0.1905,9.185,5694,Sector 23 Dwarka
3837,2000,Independent Floor,3,28.5521,77.2347,Greater kailash 1,Delhi South,100000,0.7966,14.6827,3.0947,10.0187,51,8.94,7.6009,0.15,7.148,11151,Greater kailash 1
3838,600,Apartment,2,28.6066,77.2937,mayur vihar phase 1,Delhi East,14000,0.4723,21.2342,9.4846,8.1283,49,7.103,6.3969,0.3333,9.83,5694,mayur vihar phase 1
3839,900,Independent Floor,2,28.5766,77.2432,Lajpat Nagar,Delhi South,36000,0.8174,15.6928,3.6244,7.5406,51,6.494,6.8024,0.2222,6.919,11151,Lajpat Nagar
3842,900,Independent Floor,2,28.705,77.1461,Pitampura,North Delhi,19500,0.9292,17.6856,16.455,10.1181,17,10.127,6.8024,0.2222,11.297,11151,Pitampura
3843,1000,Independent Floor,2,28.6548,77.1693,Patel Nagar,Delhi Central,32000,1.082,13.8225,10.4513,5.2351,55,4.791,6.9078,0.2,7.648,11151,Patel Nagar
3844,720,Independent Floor,2,28.7028,77.124,Sector 8 Rohini,Rohini,15000,0.5653,16.841,17.151,11.6254,12,11.167,6.5793,0.2778,11.546,11151,Sector 8 Rohini
3845,900,Independent Floor,1,28.5338,77.2098,Malviya Nagar,Delhi South,16000,0.8472,12.4636,3.673,12.0102,51,10.865,6.8024,0.1111,7.249,11151,Malviya Nagar
3846,1700,Apartment,3,28.6323,77.342,Delhi Meerut Expressway,Other,21000,1.9545,26.5934,14.9978,11.9053,442,10.65,7.4384,0.1765,13.863,5694,Delhi Meerut Expressway
3847,900,Independent Floor,3,28.6195,77.0727,Bindapur,Delhi Central,17000,0.9291,7.2515,14.4428,14.6779,55,12.311,6.8024,0.3333,9.325,11151,Bindapur
3848,1540,Independent Floor,3,28.5965,77.0438,Sector 12 Dwarka,Dwarka,30000,0.5542,6.098,16.3735,18.0088,72,15.2,7.3395,0.1948,10.259,11151,Sector 12 Dwarka
3849,1250,Apartment,3,28.5004,77.1881,Chattarpur,Delhi South,22000,1.393,11.7859,7.6122,15.9797,51,14.752,7.1309,0.24,9.193,5694,Chattarpur
3850,210,Apartment,1,28.5908,77.3038,New Ashok Nagar,Delhi East,5500,0.303,21.8087,9.7632,9.8928,49,8.673,5.3471,0.4762,10.442,5694,New Ashok Nagar
3851,500,Independent Floor,1,28.6453,77.1685,Patel Nagar,Delhi Central,16500,0.0756,12.9467,9.5029,5.1166,55,4.371,6.2146,0.2,6.91,11151,Patel Nagar
3852,1350,Independent Floor,1,28.6688,77.1012,Paschim Vihar,West Delhi,30000,1.0877,12.7279,15.3702,12.0577,39,10.651,7.2079,0.0741,10.311,11151,Paschim Vihar
3853,1800,Independent Floor,3,28.5766,77.2423,Block D Lajpat Nagar I,Other,55000,0.7838,15.6105,3.5452,7.515,442,6.468,7.4955,0.1667,6.864,11151,Other
3854,2800,Apartment,4,28.5864,77.0495,Sector 11 Dwarka,Dwarka,45000,0.009,4.9063,15.6397,17.8287,72,15.067,7.9374,0.1429,9.596,5694,Sector 11 Dwarka
3856,415,Apartment,1,28.5626,77.0436,Sector 23 Dwarka,Dwarka,7500,1.8283,4.1086,16.0725,19.4118,72,16.58,6.0283,0.241,10.355,5694,Sector 23 Dwarka
3857,1400,Apartment,3,28.5979,77.0519,Sector 5 Dwarka,Dwarka,26000,1.2568,5.7434,15.6372,17.2098,72,14.499,7.2442,0.2143,9.962,5694,Sector 5 Dwarka
3858,450,Apartment,1,28.7063,77.1474,Pitampura,North Delhi,15000,1.1201,17.8657,16.5469,10.1323,17,10.183,6.1092,0.2222,11.416,5694,Pitampura
3859,1600,Independent Floor,2,28.5388,77.2482,Chittaranjan Park,Other,45000,0.7943,16.1055,5.0323,11.718,442,10.633,7.3778,0.125,8.413,11151,Chittaranjan Park
3860,800,Independent Floor,1,28.6366,77.2928,Preet Vihar,Delhi East,9000,0.3933,22.275,11.3449,7.0682,49,6.489,6.6846,0.125,10.27,11151,Preet Vihar
3861,1350,Independent Floor,3,28.7128,77.1385,Uttari Pitampura,Other,42000,1.2264,18.2759,17.5356,11.2514,442,11.207,7.2079,0.2222,12.072,11151,Uttari Pitampura
3862,2500,Independent Floor,4,28.6948,77.1176,Pitampura,North Delhi,90000,1.6431,15.8328,16.6968,11.6694,17,10.968,7.824,0.16,11.461,11151,Pitampura
3863,720,Independent Floor,2,28.6225,77.0939,Janakpuri,West Delhi,22000,1.1808,7.5461,12.7354,12.5813,39,10.487,6.5793,0.2778,8.511,11151,Janakpuri
3864,1800,Independent Floor,3,28.5522,77.2304,Greater kailash 1,Delhi South,70000,1.1871,14.2623,2.7435,9.9652,51,8.88,7.4955,0.1667,7.04,11151,Greater kailash 1
3865,542,Independent Floor,1,28.6449,77.1651,Patel Nagar,Delhi Central,13000,0.4107,12.6991,9.6048,5.452,55,4.634,6.2953,0.1845,7.042,11151,Patel Nagar
3867,900,Apartment,2,28.6295,77.3123,i p extension patparganj,Delhi Central,17000,0.3505,23.7562,12.3604,9.0615,55,8.132,6.8024,0.2222,11.382,5694,i p extension patparganj
3869,2000,Independent Floor,3,28.6656,77.1281,Punjabi Bagh,Delhi Central,41000,0.8628,12.9845,13.4362,9.4321,55,8.429,7.6009,0.15,9.179,11151,Punjabi Bagh
3870,2085,Apartment,3,28.5656,77.0524,72 Sector 23 Road,Other,33000,1.4331,3.3779,15.2091,18.4968,442,15.766,7.6425,0.1439,9.629,5694,Other
3871,1600,Independent Floor,3,28.5488,77.24,Greater kailash 1,Delhi South,70000,0.7437,15.2134,3.7292,10.4632,51,9.386,7.3778,0.1875,7.537,11151,Greater kailash 1
3872,1350,Independent Floor,3,28.6673,77.0915,Paschim Vihar,West Delhi,30000,1.3814,12.4723,15.9101,12.9412,39,11.356,7.2079,0.2222,10.676,11151,Paschim Vihar
3873,1800,Independent Floor,3,28.5491,77.1963,Hauz Khas,Delhi South,80000,0.4513,10.9402,2.2675,10.5359,51,9.308,7.4955,0.1667,6.049,11151,Hauz Khas
3875,1100,Apartment,2,28.5375,77.2119,Sheikh Sarai,Delhi Central,30000,0.8758,12.6019,3.2751,11.5763,55,10.438,7.0031,0.1818,7.082,5694,Sheikh Sarai
3876,250,Independent Floor,1,28.6389,77.2726,laxmi nagar,Other,5000,1.1017,20.6088,10.1969,5.0874,442,4.825,5.5215,0.4,9.249,11151,laxmi nagar
3878,400,Independent House,1,28.6041,77.2896,mayur vihar phase 1,Delhi East,6000,0.0743,20.7749,9.0022,7.9201,49,6.901,5.9915,0.25,9.443,861,mayur vihar phase 1
3879,1800,Independent Floor,3,28.5507,77.2398,Greater kailash 1,Delhi South,75000,0.5514,15.1914,3.6098,10.2563,51,9.18,7.4955,0.1667,7.402,11151,Greater kailash 1
3880,875,Apartment,2,28.6518,77.1645,Patel Nagar,Delhi Central,18000,0.6689,13.2783,10.3268,5.6112,55,4.98,6.7742,0.2286,7.471,5694,Patel Nagar
3881,1600,Apartment,3,28.6721,77.1046,CA Apartments,West Delhi,29000,0.7618,13.1345,15.4206,11.8348,39,10.537,7.3778,0.1875,10.288,5694,Other
3882,360,Independent Floor,1,28.592,77.3056,New Ashok Nagar,Delhi East,8000,0.5192,22.006,9.9684,9.9676,49,8.74,5.8861,0.2778,10.615,11151,New Ashok Nagar
3883,350,Independent Floor,1,28.5614,77.213,Gautam Nagar,Delhi South,16000,0.6829,12.5815,0.7945,8.933,51,7.789,5.8579,0.2857,5.748,11151,Gautam Nagar
3884,875,Apartment,2,28.6471,77.1648,Patel Nagar,Delhi Central,18000,0.4949,12.8758,9.8397,5.5023,55,4.743,6.7742,0.2286,7.178,5694,Patel Nagar
3885,450,Independent Floor,1,28.6118,77.2895,mayur vihar phase 1,Delhi East,12350,0.7827,21.0099,9.4196,7.5026,49,6.566,6.1092,0.2222,9.679,11151,mayur vihar phase 1
3886,2200,Apartment,4,28.5911,77.0389,Sector 12 Dwarka,Dwarka,38000,0.2235,6.0105,16.7417,18.6456,72,15.767,7.6962,0.1818,10.405,5694,Sector 12 Dwarka
3887,900,Independent Floor,1,28.7039,77.144,Pitampura,North Delhi,18000,0.7196,17.5001,16.4188,10.1856,17,10.138,6.8024,0.1111,11.206,11151,Pitampura
3888,1800,Independent Floor,3,28.5423,77.2472,CR Park Main Road,Other,60000,0.4896,15.9643,4.7177,11.3168,442,10.235,7.4955,0.1667,8.122,11151,Other
3889,650,Independent Floor,2,28.6041,77.2896,mayur vihar phase 1,Delhi East,11500,0.0743,20.7749,9.0022,7.9201,49,6.901,6.477,0.3077,9.443,11151,mayur vihar phase 1
3890,650,Independent Floor,2,28.6038,77.2896,mayur vihar phase 1,Delhi East,15500,0.1065,20.7708,8.9914,7.941,49,6.919,6.477,0.3077,9.452,11151,mayur vihar phase 1
3895,1500,Independent Floor,3,28.5308,77.2168,Khirki Extension,Other,26000,1.3204,13.2034,4.0905,12.295,442,11.176,7.3132,0.2,7.727,11151,Khirki Extension
3896,780,Independent Floor,2,28.6459,77.1681,Patel Nagar,Delhi Central,20000,0.1523,12.9728,9.5868,5.1687,55,4.434,6.6593,0.2564,6.97,11151,Patel Nagar
3899,680,Independent Floor,1,28.6518,77.1645,Patel Nagar,Delhi Central,16000,0.6689,13.2783,10.3268,5.6112,55,4.98,6.5221,0.1471,7.471,11151,Patel Nagar
3901,500,Independent House,1,28.6584,77.1932,Karol Bagh,North Delhi,9000,1.0722,15.6288,10.245,3.2633,17,3.592,6.2146,0.2,7.552,861,Karol Bagh
3902,445,Independent Floor,1,28.555,77.29,Jamia Nagar,Other,8500,0.7114,20.0964,8.1542,11.764,442,10.537,6.0981,0.2247,10.181,11151,Jamia Nagar
3903,1850,Independent Floor,3,28.5399,77.2592,Kalkaji,Delhi South,40000,0.727,17.1575,5.8502,11.8987,51,10.795,7.5229,0.1622,8.908,11151,Kalkaji
3905,4950,Independent Floor,5,28.6656,77.1281,Punjabi Bagh,Delhi Central,130000,0.8628,12.9845,13.4362,9.4321,55,8.429,8.5071,0.101,9.179,11151,Punjabi Bagh
3906,2700,Independent Floor,3,28.4992,77.1849,Chattarpur,Delhi South,23000,1.2692,11.5877,7.8272,16.1772,51,14.932,7.901,0.1111,9.215,11151,Chattarpur
3908,800,Independent Floor,1,28.7039,77.1493,Pitampura,North Delhi,16000,0.9412,17.6799,16.231,9.8126,17,9.871,6.6846,0.125,11.166,11151,Pitampura
3909,800,Independent Floor,1,28.6755,77.1023,Paschim Vihar,West Delhi,20000,0.3421,13.4784,15.8551,12.1628,39,10.88,6.6846,0.125,10.46,11151,Paschim Vihar
3910,1650,Apartment,3,28.5246,77.1491,Vasant Kunj,Delhi South,49000,3.0486,7.1496,7.4115,14.7492,51,13.186,7.4085,0.1818,8.09,5694,Vasant Kunj
3911,2925,Independent Floor,3,28.638,77.069,vikaspuri,Other,40000,1.305,9.34,15.702,14.8387,442,12.576,7.981,0.1026,10.296,11151,vikaspuri
3912,1582,Apartment,4,28.6028,77.0545,Sector 4 Dwarka,Dwarka,30000,1.7839,6.0769,15.5188,16.8154,72,14.151,7.3664,0.2528,10.049,5694,Sector 4 Dwarka
3913,1000,Independent Floor,3,28.6018,77.2887,mayur vihar phase 1,Delhi East,21000,0.329,20.6222,8.8076,7.9797,49,6.946,6.9078,0.3,9.435,11151,mayur vihar phase 1
3914,1100,Independent Floor,1,28.5722,77.2321,Defence Colony,Delhi South,45000,0.4608,14.5532,2.4507,7.7847,51,6.713,7.0031,0.0909,6.312,11151,Defence Colony
3915,542,Independent Floor,1,28.6544,77.1689,Patel Nagar,Delhi Central,15500,1.0408,13.7667,10.4258,5.2595,55,4.796,6.2953,0.1845,7.623,11151,Patel Nagar
3916,1800,Apartment,3,28.5886,77.0362,Sector-18 Dwarka,Other,27000,0.6004,6.0325,16.9571,18.9771,442,16.063,7.4955,0.1667,10.642,5694,Sector-18 Dwarka
3917,530,Apartment,1,28.5258,77.2898,Saidabad,Other,16000,0.4191,20.3279,9.2201,14.5117,442,13.273,6.2729,0.1887,11.12,5694,Saidabad
3918,1710,Independent Floor,3,28.6452,77.2941,IP Extension,Delhi East,35000,0.428,22.8035,12.1136,7.1913,49,6.757,7.4442,0.1754,10.634,11151,IP Extension
3919,250,Independent Floor,1,28.6548,77.1924,Karol Bagh,North Delhi,15000,1.2679,15.2823,9.8638,3.1286,17,3.313,5.5215,0.4,7.386,11151,Karol Bagh
3920,650,Independent Floor,1,28.5603,77.2134,Gautam Nagar,Delhi South,18000,0.6921,12.6109,0.9133,9.0529,51,7.911,6.477,0.1538,5.817,11151,Gautam Nagar
3923,1400,Apartment,3,28.5992,77.2961,Mayur Vihar,Delhi East,33000,0.5772,21.2618,9.3542,8.7518,49,7.644,7.2442,0.2143,9.986,5694,Mayur Vihar
3926,900,Apartment,2,28.5146,77.2032,Sainik Farms,Delhi South,17000,0.7159,12.4331,5.8087,14.1891,51,13.026,6.8024,0.2222,8.287,5694,Sainik Farms
3927,1100,Apartment,2,28.6703,77.082,Paschim Vihar,West Delhi,20000,1.1859,12.7981,16.8196,13.9253,39,12.234,7.0031,0.1818,11.182,5694,Paschim Vihar
3928,987,Independent Floor,2,28.6455,77.1661,Patel Nagar,Delhi Central,19000,0.3101,12.8147,9.6193,5.3532,55,4.571,6.8947,0.2026,7.024,11151,Patel Nagar
3929,750,Apartment,2,28.5037,77.1909,Chattarpur,Delhi South,13000,1.1153,11.8481,7.1965,15.5736,51,14.358,6.6201,0.2667,8.933,5694,Chattarpur
3930,1685,Apartment,3,28.5818,77.0715,Sector 7 Dwarka,Dwarka,30000,1.0355,3.2513,13.4367,16.0278,72,13.516,7.4295,0.178,8.438,5694,Sector 7 Dwarka
3931,1200,Independent Floor,3,28.7135,77.1911,Model Town,North Delhi,25000,1.2129,20.4274,16.333,8.466,17,9.357,7.0901,0.25,11.61,11151,Model Town
3933,748,Apartment,1,28.6459,77.168,Patel Nagar,Delhi Central,14000,0.1533,12.9717,9.5872,5.1701,55,4.435,6.6174,0.1337,6.971,5694,Patel Nagar
3935,500,Independent Floor,1,28.5155,77.2022,Sainik Farms,Delhi South,12500,0.5879,12.2999,5.7207,14.1055,51,12.937,6.2146,0.2,8.178,11151,Sainik Farms
3936,1400,Independent Floor,3,28.6868,77.1963,Kalyan Vihar,Delhi Central,42000,1.6466,18.2394,13.3372,5.5369,55,6.376,7.2442,0.2143,9.69,11151,Kalyan Vihar
3937,2700,Independent Floor,4,28.5223,77.2144,Saket,Delhi South,100000,1.2995,13.2016,4.9833,13.2499,51,12.125,7.901,0.1481,8.184,11151,Saket
3939,1200,Apartment,2,28.5991,77.0694,Sector 2 Dwarka,Dwarka,24000,1.262,5.1253,14.0046,15.5302,72,13.026,7.0901,0.1667,8.981,5694,Sector 2 Dwarka
3940,200,Apartment,1,28.5928,77.0636,Sector 6 Dwarka,Dwarka,10000,1.4241,4.6821,14.3944,16.2858,72,13.699,5.2983,0.5,9.197,5694,Sector 6 Dwarka
3941,1855,Apartment,3,28.5874,77.0594,Sector 10 Dwarka,Dwarka,30000,0.7013,4.363,14.691,16.881,72,14.236,7.5256,0.1617,9.159,5694,Sector 10 Dwarka
3942,1200,Apartment,2,28.5953,77.0639,Sector 6 Dwarka,Dwarka,18000,1.6763,4.9141,14.4269,16.1759,72,13.598,7.0901,0.1667,9.298,5694,Sector 6 Dwarka
3944,2400,Independent Floor,2,28.6948,77.1144,Pitampura,North Delhi,30000,1.8163,15.7711,16.8595,11.9348,17,11.173,7.7832,0.0833,11.595,11151,Pitampura
3945,1100,Apartment,2,28.5946,77.0339,Sector 13 Dwarka,Dwarka,23000,0.383,6.641,17.2931,19.0023,72,16.071,7.0031,0.1818,10.83,5694,Sector 13 Dwarka
3946,1200,Independent Floor,2,28.671,77.0813,Paschim Vihar,West Delhi,25000,1.1123,12.8685,16.914,14.0042,39,12.311,7.0901,0.1667,11.225,11151,Paschim Vihar
3947,600,Independent Floor,2,28.6066,77.2937,mayur vihar phase 1,Delhi East,12000,0.4723,21.2342,9.4846,8.1283,49,7.103,6.3969,0.3333,9.83,11151,mayur vihar phase 1
3948,875,Apartment,1,28.655,77.1888,Karol Bagh,North Delhi,18500,1.2382,15.065,9.9485,3.45,17,3.528,6.7742,0.1143,7.425,5694,Karol Bagh
3949,1600,Apartment,3,28.5927,77.0378,Sector 12 Dwarka,Dwarka,35000,0.2869,6.2143,16.8781,18.6934,72,15.805,7.3778,0.1875,10.518,5694,Sector 12 Dwarka
3950,150,Apartment,1,28.5849,77.031,Dwarka Road,Other,9000,1.2526,6.213,17.4105,19.59,442,16.609,5.0106,0.6667,11.117,5694,Other
3951,1180,Independent Floor,3,28.6355,77.2697,laxmi nagar,Other,21000,0.8796,20.1874,9.7257,4.8442,442,4.531,7.0733,0.2542,8.909,11151,laxmi nagar
3952,1900,Independent Floor,3,28.5718,77.0768,Sector 8 Dwarka,Dwarka,33000,1.1633,2.0235,12.8309,16.0684,72,13.616,7.5496,0.1579,8.022,11151,Sector 8 Dwarka
3953,1700,Apartment,3,28.5625,77.0585,Sector 22 Dwarka,Dwarka,35000,0.9023,2.6932,14.6152,18.1318,72,15.476,7.4384,0.1765,9.086,5694,Sector 22 Dwarka
3954,750,Independent Floor,2,28.5029,77.185,Chattarpur,Delhi South,12000,1.0624,11.3817,7.4289,15.7715,51,14.523,6.6201,0.2667,8.911,11151,Chattarpur
3955,2750,Independent Floor,3,28.5415,77.2161,Panchsheel Park,Delhi South,100000,0.4056,12.9454,2.9245,11.1136,51,9.989,7.9194,0.1091,6.847,11151,Panchsheel Park
3956,550,Independent Floor,1,28.6456,77.1639,Patel Nagar,Delhi Central,13000,0.5231,12.6968,9.7263,5.5664,55,4.751,6.3099,0.1818,7.128,11151,Patel Nagar
3957,1400,Independent Floor,2,28.5406,77.2618,Kalkaji,Delhi South,40000,0.5101,17.4072,6.0354,11.9092,51,10.798,7.2442,0.1429,8.965,11151,Kalkaji
3958,1900,Apartment,3,28.5873,77.0647,Sector 6 Dwarka,Dwarka,30000,0.9973,4.0854,14.1795,16.4028,72,13.819,7.5496,0.1579,8.916,5694,Sector 6 Dwarka
3960,350,Independent Floor,1,28.589,77.306,New Ashok Nagar,Delhi East,7000,0.4249,21.9826,9.9165,10.1822,49,8.936,5.8579,0.2857,10.627,11151,New Ashok Nagar
3961,1000,Independent Floor,3,28.6428,77.1881,Rajinder Nagar,Delhi West,38000,0.125,14.0482,8.6335,3.185,4,2.732,6.9078,0.3,6.498,11151,Rajinder Nagar
